"Name","FullName","CreationTime","CreationTimeUtc","LastWriteTime","LastWriteTimeUtc","Length"
"Microsoft-Windows-SecureStartup-Package~31bf3856ad364e35~amd64~bg-BG~10.0.19041.4717.cat","C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.6456.1.21\Microsoft-Windows-SecureStartup-Package~31bf3856ad364e35~amd64~bg-BG~10.0.19041.4717.cat","15/10/2025 12:15:36 a. m.","15/10/2025 07:15:36 a. m.","04/10/2025 05:44:48 a. m.","04/10/2025 12:44:48 p. m.","10038"
"Microsoft-Windows-SecureStartup-Package~31bf3856ad364e35~amd64~en-GB~10.0.19041.4717.cat","C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.6456.1.21\Microsoft-Windows-SecureStartup-Package~31bf3856ad364e35~amd64~en-GB~10.0.19041.4717.cat","15/10/2025 12:15:28 a. m.","15/10/2025 07:15:28 a. m.","04/10/2025 05:44:48 a. m.","04/10/2025 12:44:48 p. m.","10038"
"Microsoft-Windows-TS-Optional-Client-Package~31bf3856ad364e35~amd64~pt-PT~10.0.19041.4717.cat","C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.6456.1.21\Microsoft-Windows-TS-Optional-Client-Package~31bf3856ad364e35~amd64~pt-PT~10.0.19041.4717.cat","15/10/2025 12:15:27 a. m.","15/10/2025 07:15:27 a. m.","04/10/2025 05:44:48 a. m.","04/10/2025 12:44:48 p. m.","10854"
"Microsoft-Windows-ImageBasedSetup-Media-Compat-Package~31bf3856ad364e35~amd64~~10.0.19041.3636.cat","C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.6456.1.21\Microsoft-Windows-ImageBasedSetup-Media-Compat-Package~31bf3856ad364e35~amd64~~10.0.19041.3636.cat","15/10/2025 12:15:32 a. m.","15/10/2025 07:15:32 a. m.","04/10/2025 05:44:48 a. m.","04/10/2025 12:44:48 p. m.","10868"
"Microsoft-Windows-SecureStartup-Package~31bf3856ad364e35~amd64~es-MX~10.0.19041.4717.cat","C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.6456.1.21\Microsoft-Windows-SecureStartup-Package~31bf3856ad364e35~amd64~es-MX~10.0.19041.4717.cat","15/10/2025 12:15:25 a. m.","15/10/2025 07:15:25 a. m.","04/10/2025 05:44:48 a. m.","04/10/2025 12:44:48 p. m.","10041"
"Microsoft-Windows-SecureStartup-Package~31bf3856ad364e35~amd64~et-EE~10.0.19041.4717.cat","C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.6456.1.21\Microsoft-Windows-SecureStartup-Package~31bf3856ad364e35~amd64~et-EE~10.0.19041.4717.cat","15/10/2025 12:15:23 a. m.","15/10/2025 07:15:23 a. m.","04/10/2025 05:44:48 a. m.","04/10/2025 12:44:48 p. m.","10066"
"Microsoft-Windows-PPI-WelcomeApp-Package~31bf3856ad364e35~amd64~it-IT~10.0.19041.6033.cat","C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.6456.1.21\Microsoft-Windows-PPI-WelcomeApp-Package~31bf3856ad364e35~amd64~it-IT~10.0.19041.6033.cat","15/10/2025 12:15:20 a. m.","15/10/2025 07:15:20 a. m.","04/10/2025 05:44:48 a. m.","04/10/2025 12:44:48 p. m.","10649"
"Microsoft-Windows-SecureStartup-Package~31bf3856ad364e35~amd64~fi-FI~10.0.19041.4717.cat","C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.6456.1.21\Microsoft-Windows-SecureStartup-Package~31bf3856ad364e35~amd64~fi-FI~10.0.19041.4717.cat","15/10/2025 12:15:22 a. m.","15/10/2025 07:15:22 a. m.","04/10/2025 05:44:48 a. m.","04/10/2025 12:44:48 p. m.","10066"
"Microsoft-Windows-IIS-WebServer-ServerCommon-Package~31bf3856ad364e35~amd64~~10.0.19041.5794.cat","C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.6456.1.21\Microsoft-Windows-IIS-WebServer-ServerCommon-Package~31bf3856ad364e35~amd64~~10.0.19041.5794.cat","15/10/2025 12:15:15 a. m.","15/10/2025 07:15:15 a. m.","04/10/2025 05:44:48 a. m.","04/10/2025 12:44:48 p. m.","105779"
"Microsoft-Windows-PPI-WelcomeApp-Package~31bf3856ad364e35~amd64~ja-JP~10.0.19041.6033.cat","C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.6456.1.21\Microsoft-Windows-PPI-WelcomeApp-Package~31bf3856ad364e35~amd64~ja-JP~10.0.19041.6033.cat","15/10/2025 12:15:21 a. m.","15/10/2025 07:15:21 a. m.","04/10/2025 05:44:48 a. m.","04/10/2025 12:44:48 p. m.","10647"
"Microsoft-Windows-PPI-WelcomeApp-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.6033.cat","C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.6456.1.21\Microsoft-Windows-PPI-WelcomeApp-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.6033.cat","15/10/2025 12:15:26 a. m.","15/10/2025 07:15:26 a. m.","04/10/2025 05:44:48 a. m.","04/10/2025 12:44:48 p. m.","10635"
"Microsoft-Windows-SecureStartup-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.4717.cat","C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.6456.1.21\Microsoft-Windows-SecureStartup-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.4717.cat","15/10/2025 12:15:32 a. m.","15/10/2025 07:15:32 a. m.","04/10/2025 05:44:48 a. m.","04/10/2025 12:44:48 p. m.","10038"
